"provincia";"cod_provincia";"total";"sensorial";"otras";"ceguera";"dis_visual";"sordera";"hipoacusia";"retraso";"motora_pura";"neuromotora";"trastornos_desarrollo";"mas_de_una";"sin_discapacidad"
"Ciudad de Buenos Aires";"02";"7702";"152";"84";"487";"365";"568";"258";"3358";"68";"229";"646";"586";"901"
"Buenos Aires";"06";"57353";"3010";"8658";"266";"439";"1228";"1391";"34344";"390";"3026";"2718";"1658";"225"
"Catamarca";"10";"963";"16";"18";"8";"18";"10";"11";"694";"8";"49";"35";"84";"12"
"Córdoba";"14";"7635";"108";"113";"66";"69";"230";"126";"5187";"9";"173";"376";"1011";"167"
"Corrientes";"18";"4084";"79";"101";"36";"124";"168";"147";"2447";"76";"245";"139";"411";"111"
"Chaco";"22";"3550";"193";"281";"63";"55";"206";"73";"1812";"64";"185";"154";"360";"104"
"Chubut";"26";"1705";"83";"124";"15";"39";"49";"30";"945";"6";"68";"86";"241";"19"
"Entre Ríos";"30";"4749";"151";"209";"81";"69";"124";"90";"2850";"63";"234";"207";"444";"227"
"Formosa";"34";"1122";"85";"110";"16";"6";"34";"16";"491";"17";"153";"87";"71";"36"
"Jujuy";"38";"1944";"94";"320";"26";"14";"15";"43";"931";"26";"84";"130";"177";"84"
"La Pampa";"42";"757";"58";"133";"17";"12";"17";"16";"300";"9";"55";"46";"81";"13"
"La Rioja";"46";"583";"7";"0";"9";"13";"24";"26";"389";"4";"41";"26";"42";"2"
"Mendoza";"50";"5561";"64";"81";"14";"36";"93";"202";"4182";"24";"109";"172";"571";"13"
"Misiones";"54";"4363";"125";"153";"35";"53";"144";"151";"2222";"70";"297";"286";"601";"226"
"Neuquén";"58";"2280";"57";"310";"57";"45";"55";"28";"1084";"17";"137";"139";"224";"127"
"Río Negro";"62";"2341";"155";"349";"9";"13";"16";"34";"1035";"17";"54";"88";"328";"243"
"Salta";"66";"3686";"233";"191";"50";"59";"105";"63";"2165";"81";"244";"212";"271";"12"
"San Juan";"70";"3346";"33";"53";"49";"60";"60";"62";"2005";"18";"74";"102";"564";"266"
"San Luis";"74";"987";"7";"15";"3";"14";"24";"21";"521";"11";"27";"103";"102";"139"
"Santa Cruz";"78";"860";"47";"70";"5";"6";"11";"14";"417";"28";"46";"75";"129";"12"
"Santa Fe";"82";"7116";"325";"351";"143";"198";"146";"154";"3919";"18";"148";"401";"1038";"275"
"Santiago del Estero";"86";"2644";"135";"111";"36";"40";"45";"110";"1748";"21";"87";"71";"159";"81"
"Tucumán";"90";"3554";"103";"186";"41";"23";"89";"142";"2614";"38";"147";"62";"109";"0"
"Tierra del Fuego";"94";"464";"13";"57";"3";"19";"5";"18";"212";"0";"14";"51";"72";"0"
